Summary,Issue Type,Priority,Story Points,Epic Link,Description,Labels
"[BE-00] Scaffolding NestJS + Prisma + libSQL adapter (Turso)",Task,Highest,3,Configuración Inicial,"Inicializar proyecto NestJS con Prisma ORM y el adapter @prisma/adapter-libsql para conectar con Turso DB.",backend,setup,mvp
"[BE-01] Variables de entorno (.env) y configuración de conexión Turso",Task,Highest,1,Configuración Inicial,"Configurar archivo .env con DATABASE_URL de Turso y variables JWT. Validar con @nestjs/config.",backend,setup,mvp
"[BE-02] Guard JWT global + estrategia Passport",Task,Highest,2,Configuración Inicial,"Implementar JwtStrategy con Passport, JwtAuthGuard global y decorador @Public() para rutas abiertas.",backend,setup,mvp,auth
"[BE-03] Pipe global de validación y filtro de excepciones",Task,Highest,1,Configuración Inicial,"Registrar ValidationPipe global con class-validator y AllExceptionsFilter para respuestas de error estandarizadas.",backend,setup,mvp
"[BE-10] Módulo AuthModule con endpoint POST /auth/register",Story,Highest,3,HU-01 Registro e Inicio de Sesión,"Crear AuthModule con endpoint POST /auth/register que reciba email, password y fullName. Crea usuario con rol CITIZEN.",backend,auth,mvp
"[BE-11] Endpoint POST /auth/login devuelve JWT",Story,Highest,2,HU-01 Registro e Inicio de Sesión,"Validar credenciales y devolver access token JWT firmado con expiración configurable.",backend,auth,mvp
"[BE-12] Módulo UsersModule con modelo User en Prisma",Task,Highest,2,HU-01 Registro e Inicio de Sesión,"Definir modelo User en schema.prisma con campos id, email, passwordHash, fullName, role, status, createdAt.",backend,users,mvp
"[BE-13] Hash de contraseña con bcrypt",Task,Highest,1,HU-01 Registro e Inicio de Sesión,"Implementar hasheo de contraseña al registrar con bcrypt (salt rounds=10) y comparación al hacer login.",backend,auth,mvp,security
"[BE-14] DTO RegisterDto y LoginDto con validaciones",Task,Highest,1,HU-01 Registro e Inicio de Sesión,"Crear RegisterDto (email IsEmail, password MinLength 8, fullName NotEmpty) y LoginDto con class-validator.",backend,auth,mvp
"[BE-15] Endpoint GET /auth/me — perfil del usuario autenticado",Story,High,1,HU-01 Registro e Inicio de Sesión,"Endpoint protegido que devuelve los datos del usuario extraído del JWT. Excluir passwordHash.",backend,auth,mvp
"[BE-20] Módulo ZonesModule con modelo Zone",Task,Highest,2,HU-02 Consultar Horarios y Puntos,"Crear ZonesModule y definir modelo Zone en Prisma con id, name, description, status, createdAt.",backend,zones,mvp
"[BE-21] Endpoint GET /zones — lista zonas activas",Story,Highest,1,HU-02 Consultar Horarios y Puntos,"Devolver listado de zonas con status ACTIVE. Ruta pública.",backend,zones,mvp
"[BE-22] Módulo SchedulesModule con modelo CollectionSchedule",Task,Highest,2,HU-02 Consultar Horarios y Puntos,"Definir modelo CollectionSchedule con zoneId, wasteTypeId, dayOfWeek, startTime, endTime.",backend,schedules,mvp
"[BE-23] Endpoint GET /schedules?zoneId= — horarios por zona",Story,Highest,2,HU-02 Consultar Horarios y Puntos,"Devolver horarios filtrados por zona. Incluir relación con wasteType (nombre y categoría).",backend,schedules,mvp
"[BE-24] Módulo PickupPointsModule con modelo PickupPoint",Task,Highest,2,HU-02 Consultar Horarios y Puntos,"Definir modelo PickupPoint con zoneId, name, address, latitude, longitude, status.",backend,pickup-points,mvp
"[BE-25] Endpoint GET /pickup-points?zoneId= — puntos de recojo",Story,Highest,1,HU-02 Consultar Horarios y Puntos,"Devolver puntos de recojo activos filtrados por zona.",backend,pickup-points,mvp
"[BE-30] Módulo IncidentsModule con modelo Incident",Task,Highest,2,HU-06 Reportar Incidencia,"Definir modelo Incident con reportedBy, zoneId, routeId (nullable), type, description, status, createdAt.",backend,incidents,mvp
"[BE-31] Endpoint POST /incidents — crear incidencia",Story,Highest,2,HU-06 Reportar Incidencia,"Ruta protegida (cualquier rol). Registra incidencia con userId extraído del JWT.",backend,incidents,mvp
"[BE-32] Endpoint GET /incidents/my — incidencias del ciudadano",Story,Medium,1,HU-06 Reportar Incidencia,"Devolver incidencias creadas por el usuario autenticado. Ordenadas por createdAt DESC.",backend,incidents,mvp
"[BE-33] DTO CreateIncidentDto con validaciones",Task,Highest,1,HU-06 Reportar Incidencia,"Campos: type (IsEnum), description (NotEmpty MinLength 10), zoneId (opcional IsString).",backend,incidents,mvp
"[BE-40] Rol DRIVER en modelo User + guard de rol",Task,Highest,1,HU-Conductor Gestionar Ruta,"Crear decorador @Roles() y RolesGuard para proteger rutas de conductor y administrador por separado.",backend,auth,mvp,roles
"[BE-41] Módulo RoutesModule con modelos Route y RouteStop",Task,Highest,3,HU-Conductor Gestionar Ruta,"Definir Route (zoneId, driverId, status, startedAt, finishedAt) y RouteStop (routeId, pickupPointId, orderIndex, status).",backend,routes,mvp
"[BE-42] Endpoint GET /routes/my — ruta asignada al conductor",Story,Highest,2,HU-Conductor Gestionar Ruta,"Devolver la ruta activa (PENDING o IN_PROGRESS) del conductor autenticado, con sus paradas y puntos de recojo.",backend,routes,mvp
"[BE-43] Endpoint PATCH /routes/:id/start — iniciar ruta",Story,Highest,1,HU-Conductor Gestionar Ruta,"Cambiar status de PENDING a IN_PROGRESS y registrar startedAt. Solo el conductor asignado puede ejecutarlo.",backend,routes,mvp
"[BE-44] Módulo CollectionsModule con modelo Collection",Task,Highest,2,HU-Conductor Registrar Recolección,"Definir modelo Collection con routeStopId (unique), wasteTypeId, collectedAt, notes.",backend,collections,mvp
"[BE-45] Endpoint POST /collections — confirmar punto atendido",Story,Highest,2,HU-Conductor Registrar Recolección,"Registrar recolección y actualizar status de RouteStop a COMPLETED. Validar que el conductor es dueño de la ruta.",backend,collections,mvp
"[BE-46] Endpoint POST /incidents para conductor — reportar problema en ruta",Story,Highest,1,HU-Conductor Comunicar Incidencias,"Reutilizar endpoint POST /incidents incluyendo routeId en el body para vincular la incidencia a una ruta.",backend,incidents,mvp
"[BE-50] Rol ADMIN + guard en rutas protegidas",Task,Highest,1,HU-Admin Gestionar Sistema,"Aplicar RolesGuard con rol ADMIN a todos los endpoints del módulo admin.",backend,auth,mvp,roles
"[BE-51] Endpoint GET /users — listar usuarios",Story,Highest,1,HU-Admin Gestionar Sistema,"Listar todos los usuarios con paginación básica (page, limit). Excluir passwordHash.",backend,users,mvp,admin
"[BE-52] Endpoint PATCH /users/:id — actualizar usuario",Story,Medium,1,HU-Admin Gestionar Sistema,"Actualizar fullName, role o status de un usuario.",backend,users,mvp,admin
"[BE-53] Endpoint DELETE /users/:id — desactivar usuario",Story,Medium,1,HU-Admin Gestionar Sistema,"Soft delete: cambiar status a INACTIVE. No eliminar registro.",backend,users,mvp,admin
"[BE-54] Endpoints CRUD POST PATCH DELETE /zones",Story,Highest,2,HU-Admin Gestionar Sistema,"Crear, editar y desactivar zonas de recolección.",backend,zones,mvp,admin
"[BE-55] Módulo WasteTypesModule con modelo WasteType",Task,Highest,2,HU-Admin Gestionar Residuos,"Definir modelo WasteType con name, category (ORGANIC/RECYCLABLE/NON_RECYCLABLE), description.",backend,waste-types,mvp
"[BE-56] Endpoints GET POST /waste-types",Story,Highest,2,HU-Admin Gestionar Residuos,"GET público para listar tipos de residuos. POST protegido para crear (solo ADMIN).",backend,waste-types,mvp,admin
"[BE-57] Endpoint GET POST /waste-types/:id/classify",Story,Highest,1,HU-Admin Gestionar Residuos,"Retornar o actualizar la clasificación de un tipo de residuo.",backend,waste-types,mvp,admin
"[BE-58] Endpoints POST GET /routes — asignar y listar rutas",Story,Highest,2,HU-Admin Gestionar Operaciones,"POST crea una ruta asignando driverId, zoneId y las paradas ordenadas. GET lista todas las rutas con estado.",backend,routes,mvp,admin
"[BE-59] Endpoint GET /routes — ver estado de todas las rutas",Story,Highest,1,HU-Admin Gestionar Operaciones,"Listar rutas con filtro opcional por status y fecha. Incluir conductor y zona.",backend,routes,mvp,admin
